id,data_source,collection_type,records_collected,status,error_message,started_at,completed_at,collection_date,duration_seconds,is_successful
48,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:44:38.743969,2025-12-10T07:44:38.74398,2025-12-10,1.1e-05,True
49,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:45:21.59482,2025-12-10T07:45:21.594828,2025-12-10,8e-06,True
50,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:46:04.46968,2025-12-10T07:46:04.46969,2025-12-10,1e-05,True
51,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:46:47.110952,2025-12-10T07:46:47.110961,2025-12-10,9e-06,True
52,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:47:31.281177,2025-12-10T07:47:31.281185,2025-12-10,8e-06,True
53,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:48:14.005793,2025-12-10T07:48:14.005801,2025-12-10,8e-06,True
54,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:48:57.685666,2025-12-10T07:48:57.685673,2025-12-10,7e-06,True
55,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:49:40.610579,2025-12-10T07:49:40.610584,2025-12-10,5e-06,True
56,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:50:24.151869,2025-12-10T07:50:24.151878,2025-12-10,9e-06,True
57,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:51:06.548904,2025-12-10T07:51:06.548912,2025-12-10,8e-06,True
58,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:51:51.092168,2025-12-10T07:51:51.092218,2025-12-10,5e-05,True
59,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:52:33.89697,2025-12-10T07:52:33.896977,2025-12-10,7e-06,True
60,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:53:20.798466,2025-12-10T07:53:20.798474,2025-12-10,8e-06,True
61,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:54:03.7038,2025-12-10T07:54:03.703807,2025-12-10,7e-06,True
62,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:54:47.990009,2025-12-10T07:54:47.990018,2025-12-10,9e-06,True
63,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:55:30.727516,2025-12-10T07:55:30.727523,2025-12-10,7e-06,True
64,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:56:14.381139,2025-12-10T07:56:14.381146,2025-12-10,7e-06,True
65,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:56:57.186813,2025-12-10T07:56:57.186821,2025-12-10,8e-06,True
66,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:57:41.225559,2025-12-10T07:57:41.225565,2025-12-10,6e-06,True
67,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:58:24.641258,2025-12-10T07:58:24.641266,2025-12-10,8e-06,True
68,OpenChargeMap,charging_stations,31,success,,2025-12-10T07:59:09.08104,2025-12-10T07:59:09.081046,2025-12-10,6e-06,True
69,OpenWeatherMap,weather_data,31,success,,2025-12-10T07:59:51.890537,2025-12-10T07:59:51.890545,2025-12-10,8e-06,True
70,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:00:41.145047,2025-12-10T08:00:41.145056,2025-12-10,9e-06,True
71,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:01:23.687788,2025-12-10T08:01:23.687796,2025-12-10,8e-06,True
72,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:02:08.948211,2025-12-10T08:02:08.948222,2025-12-10,1.1e-05,True
73,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:02:53.034174,2025-12-10T08:02:53.034183,2025-12-10,9e-06,True
74,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:03:38.085568,2025-12-10T08:03:38.085574,2025-12-10,6e-06,True
75,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:04:23.043409,2025-12-10T08:04:23.043416,2025-12-10,7e-06,True
76,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:05:17.924853,2025-12-10T08:05:17.924858,2025-12-10,5e-06,True
77,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:06:01.687352,2025-12-10T08:06:01.687361,2025-12-10,9e-06,True
78,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:06:46.809016,2025-12-10T08:06:46.809025,2025-12-10,9e-06,True
79,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:07:31.855309,2025-12-10T08:07:31.855324,2025-12-10,1.5e-05,True
80,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:08:17.855661,2025-12-10T08:08:17.85567,2025-12-10,9e-06,True
81,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:08:59.868866,2025-12-10T08:08:59.868874,2025-12-10,8e-06,True
82,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:09:44.275884,2025-12-10T08:09:44.275891,2025-12-10,7e-06,True
83,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:10:29.856805,2025-12-10T08:10:29.856817,2025-12-10,1.2e-05,True
84,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:11:14.404047,2025-12-10T08:11:14.404057,2025-12-10,1e-05,True
85,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:11:56.812887,2025-12-10T08:11:56.812895,2025-12-10,8e-06,True
86,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:12:42.234971,2025-12-10T08:12:42.234978,2025-12-10,7e-06,True
87,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:13:25.17506,2025-12-10T08:13:25.175068,2025-12-10,8e-06,True
88,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:14:10.742926,2025-12-10T08:14:10.742936,2025-12-10,1e-05,True
89,OpenWeatherMap,weather_data,31,success,,2025-12-10T08:14:53.999855,2025-12-10T08:14:53.999863,2025-12-10,8e-06,True
90,OpenChargeMap,charging_stations,31,success,,2025-12-10T08:15:50.863645,2025-12-10T08:15:50.863651,2025-12-10,6e-06,True
91,OpenWeatherMap,weather_data,30,success,,2025-12-10T09:42:53.238649,2025-12-10T09:42:53.238659,2025-12-10,1e-05,True
92,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:43:40.966154,2025-12-10T09:43:40.966161,2025-12-10,7e-06,True
93,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:44:23.559882,2025-12-10T09:44:23.559889,2025-12-10,7e-06,True
94,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:45:09.640183,2025-12-10T09:45:09.640192,2025-12-10,9e-06,True
95,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:45:51.52386,2025-12-10T09:45:51.523867,2025-12-10,7e-06,True
96,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:46:37.396625,2025-12-10T09:46:37.396633,2025-12-10,8e-06,True
97,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:47:20.295324,2025-12-10T09:47:20.295332,2025-12-10,8e-06,True
98,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:48:05.872945,2025-12-10T09:48:05.872955,2025-12-10,1e-05,True
99,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:48:48.052015,2025-12-10T09:48:48.052021,2025-12-10,6e-06,True
100,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:49:33.001033,2025-12-10T09:49:33.001038,2025-12-10,5e-06,True
101,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:50:15.501875,2025-12-10T09:50:15.501881,2025-12-10,6e-06,True
102,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:51:00.456729,2025-12-10T09:51:00.456738,2025-12-10,9e-06,True
103,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:51:43.129492,2025-12-10T09:51:43.129499,2025-12-10,7e-06,True
104,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:52:29.340519,2025-12-10T09:52:29.340529,2025-12-10,1e-05,True
105,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:53:12.079703,2025-12-10T09:53:12.079711,2025-12-10,8e-06,True
106,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:53:56.833884,2025-12-10T09:53:56.833892,2025-12-10,8e-06,True
107,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:54:39.35915,2025-12-10T09:54:39.359157,2025-12-10,7e-06,True
108,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:55:24.989136,2025-12-10T09:55:24.989166,2025-12-10,3e-05,True
109,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:56:06.881568,2025-12-10T09:56:06.881593,2025-12-10,2.5e-05,True
110,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:57:05.440926,2025-12-10T09:57:05.440934,2025-12-10,8e-06,True
111,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:57:46.969603,2025-12-10T09:57:46.969617,2025-12-10,1.4e-05,True
112,OpenChargeMap,charging_stations,31,success,,2025-12-10T09:58:32.601046,2025-12-10T09:58:32.601057,2025-12-10,1.1e-05,True
113,OpenWeatherMap,weather_data,31,success,,2025-12-10T09:59:14.742508,2025-12-10T09:59:14.742515,2025-12-10,7e-06,True
114,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:00:04.322194,2025-12-10T10:00:04.322206,2025-12-10,1.2e-05,True
115,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:00:47.02346,2025-12-10T10:00:47.023473,2025-12-10,1.3e-05,True
116,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:01:36.5837,2025-12-10T10:01:36.583711,2025-12-10,1.1e-05,True
117,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:02:21.343024,2025-12-10T10:02:21.343032,2025-12-10,8e-06,True
118,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:03:09.226074,2025-12-10T10:03:09.226081,2025-12-10,7e-06,True
119,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:03:51.799174,2025-12-10T10:03:51.799193,2025-12-10,1.9e-05,True
120,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:04:44.643006,2025-12-10T10:04:44.643015,2025-12-10,9e-06,True
121,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:05:27.717091,2025-12-10T10:05:27.717213,2025-12-10,0.000122,True
122,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:06:15.502382,2025-12-10T10:06:15.502397,2025-12-10,1.5e-05,True
123,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:06:57.824642,2025-12-10T10:06:57.824682,2025-12-10,4e-05,True
124,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:07:43.324085,2025-12-10T10:07:43.324096,2025-12-10,1.1e-05,True
125,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:08:35.651514,2025-12-10T10:08:35.651524,2025-12-10,1e-05,True
126,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:09:18.78139,2025-12-10T10:09:18.781403,2025-12-10,1.3e-05,True
127,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:10:05.579173,2025-12-10T10:10:05.579186,2025-12-10,1.3e-05,True
128,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:10:48.998973,2025-12-10T10:10:48.998994,2025-12-10,2.1e-05,True
129,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:11:36.736523,2025-12-10T10:11:36.73654,2025-12-10,1.7e-05,True
130,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:12:20.033231,2025-12-10T10:12:20.033252,2025-12-10,2.1e-05,True
131,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:13:07.998904,2025-12-10T10:13:07.998917,2025-12-10,1.3e-05,True
132,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:13:51.171292,2025-12-10T10:13:51.171308,2025-12-10,1.6e-05,True
133,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:14:50.956526,2025-12-10T10:14:50.956552,2025-12-10,2.6e-05,True
134,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:15:34.183794,2025-12-10T10:15:34.183804,2025-12-10,1e-05,True
135,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:16:20.326558,2025-12-10T10:16:20.326586,2025-12-10,2.8e-05,True
136,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:17:02.575671,2025-12-10T10:17:02.575686,2025-12-10,1.5e-05,True
137,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:17:48.58208,2025-12-10T10:17:48.582108,2025-12-10,2.8e-05,True
138,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:18:30.872294,2025-12-10T10:18:30.872314,2025-12-10,2e-05,True
139,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:19:19.046862,2025-12-10T10:19:19.046873,2025-12-10,1.1e-05,True
140,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:20:01.20569,2025-12-10T10:20:01.205723,2025-12-10,3.3e-05,True
141,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:20:49.944937,2025-12-10T10:20:49.944959,2025-12-10,2.2e-05,True
142,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:21:33.37766,2025-12-10T10:21:33.377667,2025-12-10,7e-06,True
143,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:22:20.701359,2025-12-10T10:22:20.70137,2025-12-10,1.1e-05,True
144,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:23:03.735709,2025-12-10T10:23:03.735716,2025-12-10,7e-06,True
145,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:24:12.320544,2025-12-10T10:24:12.320564,2025-12-10,2e-05,True
146,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:24:55.123588,2025-12-10T10:24:55.123609,2025-12-10,2.1e-05,True
147,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:25:42.162796,2025-12-10T10:25:42.16286,2025-12-10,6.4e-05,True
148,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:26:25.276418,2025-12-10T10:26:25.27644,2025-12-10,2.2e-05,True
149,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:27:12.438618,2025-12-10T10:27:12.438643,2025-12-10,2.5e-05,True
150,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:27:57.595026,2025-12-10T10:27:57.595034,2025-12-10,8e-06,True
151,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:28:52.173739,2025-12-10T10:28:52.173746,2025-12-10,7e-06,True
152,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:29:35.206373,2025-12-10T10:29:35.206389,2025-12-10,1.6e-05,True
153,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:30:20.444625,2025-12-10T10:30:20.444638,2025-12-10,1.3e-05,True
154,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:31:03.761357,2025-12-10T10:31:03.761373,2025-12-10,1.6e-05,True
155,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:31:48.651648,2025-12-10T10:31:48.651656,2025-12-10,8e-06,True
156,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:32:31.044334,2025-12-10T10:32:31.044342,2025-12-10,8e-06,True
157,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:33:18.417483,2025-12-10T10:33:18.417499,2025-12-10,1.6e-05,True
158,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:34:01.452516,2025-12-10T10:34:01.452528,2025-12-10,1.2e-05,True
159,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:34:47.133903,2025-12-10T10:34:47.133911,2025-12-10,8e-06,True
160,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:35:30.798384,2025-12-10T10:35:30.798393,2025-12-10,9e-06,True
161,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:36:16.485305,2025-12-10T10:36:16.485311,2025-12-10,6e-06,True
162,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:37:00.766573,2025-12-10T10:37:00.766588,2025-12-10,1.5e-05,True
163,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:37:45.871963,2025-12-10T10:37:45.871979,2025-12-10,1.6e-05,True
164,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:38:28.789778,2025-12-10T10:38:28.789788,2025-12-10,1e-05,True
165,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:39:26.647472,2025-12-10T10:39:26.647481,2025-12-10,9e-06,True
166,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:40:10.064648,2025-12-10T10:40:10.06467,2025-12-10,2.2e-05,True
167,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:40:56.855577,2025-12-10T10:40:56.855589,2025-12-10,1.2e-05,True
168,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:41:39.397423,2025-12-10T10:41:39.397444,2025-12-10,2.1e-05,True
169,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:42:24.849519,2025-12-10T10:42:24.849526,2025-12-10,7e-06,True
170,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:43:07.827458,2025-12-10T10:43:07.827474,2025-12-10,1.6e-05,True
171,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:44:01.731298,2025-12-10T10:44:01.731307,2025-12-10,9e-06,True
172,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:44:43.853271,2025-12-10T10:44:43.853282,2025-12-10,1.1e-05,True
173,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:45:29.456423,2025-12-10T10:45:29.456435,2025-12-10,1.2e-05,True
174,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:46:13.050663,2025-12-10T10:46:13.050676,2025-12-10,1.3e-05,True
175,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:46:58.750228,2025-12-10T10:46:58.750237,2025-12-10,9e-06,True
176,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:47:42.127035,2025-12-10T10:47:42.127045,2025-12-10,1e-05,True
177,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:48:35.460526,2025-12-10T10:48:35.460535,2025-12-10,9e-06,True
178,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:49:18.86829,2025-12-10T10:49:18.868308,2025-12-10,1.8e-05,True
179,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:50:05.592137,2025-12-10T10:50:05.592151,2025-12-10,1.4e-05,True
180,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:50:47.978937,2025-12-10T10:50:47.978945,2025-12-10,8e-06,True
181,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:51:33.595202,2025-12-10T10:51:33.59521,2025-12-10,8e-06,True
182,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:52:16.65212,2025-12-10T10:52:16.652133,2025-12-10,1.3e-05,True
183,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:53:01.615175,2025-12-10T10:53:01.615186,2025-12-10,1.1e-05,True
184,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:53:44.470651,2025-12-10T10:53:44.470667,2025-12-10,1.6e-05,True
185,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:54:31.231004,2025-12-10T10:54:31.231016,2025-12-10,1.2e-05,True
186,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:55:15.022523,2025-12-10T10:55:15.022531,2025-12-10,8e-06,True
187,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:56:00.53694,2025-12-10T10:56:00.536948,2025-12-10,8e-06,True
188,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:56:42.238251,2025-12-10T10:56:42.238258,2025-12-10,7e-06,True
189,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:57:26.715598,2025-12-10T10:57:26.715603,2025-12-10,5e-06,True
190,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:58:09.570406,2025-12-10T10:58:09.570417,2025-12-10,1.1e-05,True
191,OpenChargeMap,charging_stations,31,success,,2025-12-10T10:58:54.009423,2025-12-10T10:58:54.00943,2025-12-10,7e-06,True
192,OpenWeatherMap,weather_data,31,success,,2025-12-10T10:59:37.532455,2025-12-10T10:59:37.532469,2025-12-10,1.4e-05,True
193,OpenChargeMap,charging_stations,31,success,,2025-12-10T11:00:22.293416,2025-12-10T11:00:22.293439,2025-12-10,2.3e-05,True
194,OpenWeatherMap,weather_data,31,success,,2025-12-10T11:01:06.329961,2025-12-10T11:01:06.329969,2025-12-10,8e-06,True
195,OpenChargeMap,charging_stations,31,success,,2025-12-10T11:01:51.793607,2025-12-10T11:01:51.793614,2025-12-10,7e-06,True
196,OpenWeatherMap,weather_data,31,success,,2025-12-10T11:02:34.806876,2025-12-10T11:02:34.806893,2025-12-10,1.7e-05,True
197,OpenChargeMap,charging_stations,31,success,,2025-12-10T11:03:21.295718,2025-12-10T11:03:21.295726,2025-12-10,8e-06,True
198,OpenWeatherMap,weather_data,31,success,,2025-12-10T11:04:04.052537,2025-12-10T11:04:04.052545,2025-12-10,8e-06,True
199,OpenChargeMap,charging_stations,31,success,,2025-12-10T11:05:04.322979,2025-12-10T11:05:04.322991,2025-12-10,1.2e-05,True
200,OpenWeatherMap,weather_data,31,success,,2025-12-10T11:05:47.207777,2025-12-10T11:05:47.207786,2025-12-10,9e-06,True
201,OpenChargeMap,charging_stations,31,success,,2025-12-10T11:06:32.275837,2025-12-10T11:06:32.275846,2025-12-10,9e-06,True
202,OpenWeatherMap,weather_data,31,success,,2025-12-10T11:07:16.071803,2025-12-10T11:07:16.071811,2025-12-10,8e-06,True
