station_id,station_name,latitude,longitude,city,state,country,operator,status,total_sessions,total_energy_kwh,avg_cost,charging_points_count
461157,University Place Library,47.22577302,-122.53568884,University Place,Washington,United States,(Unknown Operator),Operational,15,647.52,12.490666666666666,0
461164,Clawson Shopping Center,42.53229695,-83.16402908,Clawson,MI,United States,EVGateway,Operational,26,1043.12,14.558461538461538,0
461165,Heilmann Community Center,42.44076244,-82.96274857,Detroit,MI,United States,EV Connect,Operational,22,1155.76,12.913636363636364,0
461166,Gladwin City Hall,43.98144185,-84.4976514,Gladwin,MI,United States,Red E Charge,Operational,18,826.35,15.64611111111111,0
461167,Pats Food Freeland,43.52019243,-84.11980871,Freeland,MI,United States,Red E Charge,Operational,21,863.8,15.144285714285715,0
461170,Hamilton Market St,39.40063825,-84.5627713,Hamilton,OH,United States,ChargePoint,Operational,27,1141.72,13.496296296296297,0
461171,Hamilton CNG Filling Station,39.37427666,-84.54853875,Hamilton,OH,United States,ChargePoint,Operational,24,934.76,14.195833333333333,0
461251,Sunshine Gardens,37.66164472,-122.43944326,South San Francisco,CA,United States,(Unknown Operator),Planned For Future Date,23,1013.5,13.337391304347825,0
461252,D & 3rd Street Curbside,38.58713467,-121.51062258,West Sacramento,CA,United States,ChargePoint,Planned For Future Date,21,627.75,8.046666666666667,0
461275,Goodwill,44.93859995,-93.34792957,St. Louis Park,MN,United States,(Unknown Operator),Operational,23,928.12,13.174782608695653,0
461307,Fas Mart,42.98939748,-86.19357964,Grand Haven,MI,United States,Red E Charge,Operational,21,799.53,11.658095238095239,0
461370,Miller Hill Super One,46.80974807,-92.17022785,Duluth,MN,United States,ZEF Energy,Operational,19,919.05,13.470526315789474,0
461511,Sleep Inn & Suites Monroe - Woodbury,41.35714173,-74.195866,Monroe,NY,United States,Tesla (including non-tesla),Operational,26,1174.29,16.325384615384614,0
461541,Fox Kia South,42.91289485,-85.56573258,Grand Rapids,michigan,United States,ChargePoint,Operational,24,1427.66,19.7175,0
461543,Garcia Bend Park,38.479037,-121.54283431,Sacramento,CA,United States,ChargePoint,Operational,20,938.53,16.482,0
461546,"Pilot Travel Center #1051 Iowa, LA",30.25353893,-93.01454131,Iowa,LA,United States,eVgo Network,Operational,23,1047.39,14.35304347826087,0
461547,"Pilot Travel Center #1047 Jacksonville, FL",30.37167954,-81.7646687,Jacksonville,FL,United States,eVgo Network,Operational,18,623.6,10.382777777777777,0
461548,"Pilot Travel Center #374 Marianna, FL",30.72521949,-85.18655441,Marianna,FL,United States,eVgo Network,Operational,19,808.63,15.601052631578947,0
461549,"ONE9 Travel Center #7937 Mcleansville, NC",36.06035414,-79.66262588,Mcleansville,NC,United States,eVgo Network,Operational,29,1377.99,15.171034482758621,0
461550,"Flying J Travel Center #706 Tulsa, OK",36.16147782,-95.83201225,Tulsa,OK,United States,eVgo Network,Operational,18,564.31,10.205,0
461551,Berkeley Bowl (West),37.85387117,-122.29068218,Berkeley,CA,United States,Electrify America,Operational,20,891.91,11.3595,0
461553,Ventura County Credit Union,34.26455723,-119.21060702,Ventura,CA,United States,Electrify America,Operational,22,854.79,12.261818181818182,0
461554,The Bite Tumalo,44.14711145,-121.33133899,Tumalo,OR,United States,Rivian Adventure Network,Operational,25,1072.21,14.0172,0
461627,"T/A Travel Center #0057 - Redding, CA",40.5053427,-122.33454995,Redding,CA,United States,BP Pulse (US),Planned For Future Date,16,559.08,9.153125,0
461628,Petro Corning #309,39.90589207,-122.1972271,Corning,CA,United States,BP Pulse (US),Planned For Future Date,20,782.48,13.0375,0
461629,In-N-Out Burger - Redding,40.58538871,-122.34905976,Redding,CA,United States,Mercedes-Benz High-Power Charging (US),Planned For Future Date,18,863.42,16.509444444444444,0
461631,"Pilot Travel Center #1019 - Orland, CA",39.75124799,-122.20874577,Orland,CA,United States,eVgo Network,Operational,16,735.14,13.75375,0
461632,"Ionna - Willows, CA",39.52355562,-122.21196535,Williows,CA,United States,IONNA,Planned For Future Date,20,852.44,13.8215,0
461715,BP Express Stop,42.26772442,-84.45320382,Jackson,MI,United States,Red E Charge,Operational,20,732.03,13.442,0
461733,Walmart,35.47023611,-95.53572033,Checotah,OK,United States,(Unknown Operator),Operational,19,787.92,14.26,0
461744,Sunset Pointe,38.8112445,-121.28523913,Rocklin,CA,United States,eVgo Network,Operational,24,985.24,13.192916666666667,0
461750,Speedy Q,42.72034242,-82.73231597,New Baltimore,MI,United States,Red E Charge,Operational,17,734.66,14.321764705882353,0
461756,"Laguna Blvd, Elk Grove, CA",38.42294935,-121.41889587,Elk Grove,CA,United States,eVgo Network,Operational,15,652.88,14.658,0
461757,Dutch Bros Coffee,38.5631774,-121.38113376,Sacramento,CA,United States,eVgo Network,Operational,21,823.44,14.040476190476191,0
461758,Bradville Square Shopping Center,38.55659688,-121.33426303,Sacramento,CA,United States,eVgo Network,Operational,23,861.48,12.665652173913044,0
461813,Culver's,45.63291495,-89.43208425,Rhinelander,WI,United States,ChargePoint,Operational,21,1133.24,17.42142857142857,0
462098,Wawa Supercharger,38.13392236,-79.04433708,Staunton,VA,United States,Tesla (including non-tesla),Operational,22,1357.02,18.46409090909091,0
462111,Shell - Novi,42.49111094,-83.51430654,Novi,MI,United States,Red E Charge,Operational,19,825.47,14.706842105263158,0
462127,Kimco-charlotte,35.16030907,-80.87590677,Charlotte,NC,United States,(Unknown Operator),Operational,22,808.7,11.406363636363636,0
462225,IONNA Beaver Rechargery Relay,38.29227291,-112.64654849,Beaver,UT,United States,IONNA,Operational,23,1153.82,14.996521739130435,0
462226,IONNA Raleigh Rechargery Relay,35.84159568,-78.57751219,Raleigh,NC,United States,IONNA,Operational,14,597.75,15.176428571428572,0
462227,IONNA Middletown Rechargery Relay,39.43728879,-77.52915717,Middletown,MD,United States,IONNA,Operational,22,890.88,11.104090909090909,0
462228,IONNA Kutztown Rechargery @ Sheetz,40.58243639,-75.708866,Kutztown,PA,United States,IONNA,Operational,15,705.59,17.3,0
462269,Ionna Rechargery,38.74407396,-121.2778181,Roseville,CA,United States,IONNA,Planned For Future Date,22,810.47,10.161363636363637,0
469252,Lenexa Old Town Activity Center,38.95898846,-94.74154538,Lenexa,KS,United States,Tesla (including non-tesla),Operational,25,1142.7,12.0932,0
469253,Lenexa Justice Center,38.95489401,-94.78549242,Lenexa,KS,United States,Tesla (including non-tesla),Operational,27,1104.46,13.212222222222222,0
469374,Freewire Charging Station,39.98548248,-83.00390753,Columbus,OH,United States,(Unknown Operator),Operational,19,830.61,11.864210526315789,0
469399,Elkhorn Shopping Center,38.69461723,-121.3611978,Sacramento,CA,United States,eVgo Network,Planned For Future Date,21,1065.74,18.511904761904763,0
469401,Dutch Bros,38.47561181,-121.4185743,Sacramento,CA,United States,IONNA,Planned For Future Date,21,711.88,10.85047619047619,0
469403,1122 Frankford grand,37.415328,-122.076575,fishtown,PA,United States,(Unknown Operator),Operational,19,793.51,13.514736842105263,0
469430,Bernal Plaza,37.23344502,-121.77467103,San Jose,CA,United States,eVgo Network,Operational,20,769.84,12.8405,0
469455,Polaris Bergland Township,46.59222416,-89.57231251,Bergland,MI,United States,(Unknown Operator),Operational,17,648.3,10.714117647058824,0
469499,Renewable Grid - Glen Cove Fast Charging,40.86583398,-73.63155013,Glen Cove,NY,United States,(Unknown Operator),Operational,28,1261.17,13.209642857142857,0
469611,Dennys,47.43566569,-122.29675732,Seatac,WA,United States,Electric Era (US),Planned For Future Date,21,949.55,14.385714285714286,0
469612,"Dennys - Auburn, WA",47.30259018,-122.22622845,Auburn,WA,United States,Electric Era (US),Planned For Future Date,29,1348.28,13.837241379310345,0
469741,"Pilot Travel Center #63 Piedmont, SC",34.71029947,-82.49809244,Piedmont,SC,United States,eVgo Network,Operational,22,889.55,14.77590909090909,0
469743,"Pilot Travel Center #4642 Toms Brook, VA",38.96681936,-78.43859993,Toms Brook,VA,United States,eVgo Network,Operational,18,659.17,10.902222222222223,0
469745,"Flying J Travel Center #875 Elkton, MD",39.63775037,-75.80665298,Elkton,MD,United States,eVgo Network,Operational,21,928.25,16.133809523809525,0
469746,"Pilot Travel Center #281 Girard, OH",41.14061926,-80.71873263,Girard,OH,United States,eVgo Network,Operational,14,576.93,12.768571428571429,0
469747,"Flying J Travel Center #692 Wells, NV",41.09733192,-114.95841899,Wells,NV,United States,eVgo Network,Operational,21,1092.12,16.334285714285713,0
469748,Ionna Largo Rechargery @ Wawa,27.92834267,-82.7883568,Largo,FL,United States,IONNA,Operational,21,847.68,11.916666666666666,0
469749,"Ionna Reading, MA Rechargery Relay",42.51828198,-71.09510054,Reading,MA,United States,IONNA,Operational,25,939.57,11.584,0
469752,"Ionna Carlin, NV Rechargery Relay @ Ridley’s Market",40.71873861,-116.10837613,Carlin,NV,United States,IONNA,Operational,23,912.35,13.467391304347826,0
469807,OUC ReCharge EV Hub at OCCC,28.43103321,-81.45316713,Orlando,FL,United States,ChargeUp (NovaCharge),Operational,21,1064.45,13.897619047619047,0
470113,Kwik-Charge #1205,43.57533066,-89.77678452,Lake Delton,WI,United States,Kwik Charge (Kwik Trip),Operational,18,976.01,18.587222222222223,0
470276,"New Albany Light, Gas, and Water",34.49340373,-89.01077641,New Albany,MS,United States,Electric Era (US),Operational,27,951.48,11.145555555555555,0
470312,Safeway,38.01504354,-122.27200675,Hercules,CA,United States,Electrify America,Planned For Future Date,15,648.21,18.015333333333334,0
470314,EVolve NY Afton,42.22745527,-75.5257999,Afton,NY,United States,Electrify America,Operational,17,1165.07,18.581176470588236,0
470357,FastTrack Market Marathon,42.25597141,-83.27277905,Taylor,MI,United States,Red E Charge,Operational,18,665.06,11.435555555555556,0
470498,US Highway 57,28.71659659,-100.46112918,Eagle Pass,Texas,United States,InCharge (US),Operational,22,1177.79,17.292272727272728,0
470651,"Starbucks - Ridgefield, WA",45.81638546,-122.69037961,Ridgefield,WA,United States,Mercedes-Benz High-Power Charging (US),Planned For Future Date,18,920.18,15.442222222222222,0
470652,"Starbucks - Phoenix, OR",42.28021952,-122.82161296,Phoenix,OR,United States,Mercedes-Benz High-Power Charging (US),Planned For Future Date,26,1282.47,15.283846153846154,0
470662,"Kittery Premium Outlets - Kittery, ME",43.11481461,-70.73033327,Kittery,ME,United States,Mercedes-Benz High-Power Charging (US),Operational,26,1370.17,17.907692307692308,0
470696,Trailborn Grand Canyon,35.2520407,-112.18158956,Williams,AZ,United States,(Unknown Operator),Operational,21,898.06,13.606666666666667,0
470792,Fellows Creek Golf Club,42.28526676,-83.4377779,Canton,MI,United States,Volta Charging,Operational,17,848.32,14.612941176470589,0
