station_id,station_name,city,state,hour_of_day,day_of_week,day_name,session_count,total_energy_kwh,avg_duration_minutes
460953,"Flying J Travel Center #690 Lordsburg, NM",Lordsburg,NM,0,3,Wednesday,1,31.72,90.0
469749,"Ionna Reading, MA Rechargery Relay",Reading,MA,11,6,Saturday,1,41.34,60.0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,8,5,Friday,1,103.0,180.0
461549,"ONE9 Travel Center #7937 Mcleansville, NC",Mcleansville,NC,5,0,Sunday,1,28.04,60.0
461631,"Pilot Travel Center #1019 - Orland, CA",Orland,CA,19,3,Wednesday,1,27.56,120.0
460503,Futurama near Ball & Chain,Miami,Florida,2,1,Monday,1,45.2,60.0
461156,Key GMC of Rochester,Rochester,New Hampshire,4,3,Wednesday,1,18.49,60.0
461554,The Bite Tumalo,Tumalo,OR,2,5,Friday,1,61.36,90.0
469374,Freewire Charging Station,Columbus,OH,8,0,Sunday,1,10.32,60.0
461135,Marathon,Grand Rapids,MI,1,5,Friday,1,36.2,45.0
460503,Futurama near Ball & Chain,Miami,Florida,19,1,Monday,1,22.13,60.0
460322,Ionna Daytona Beach Rechargery Relay @Wawa,Daytona Beach,FL,19,6,Saturday,2,214.84,150.0
460213,"IKEA - Norfolk, VA",Norfolk,VA,16,1,Monday,1,89.74,120.0
470498,US Highway 57,Eagle Pass,Texas,2,2,Tuesday,1,18.5,60.0
460371,"Circle K - Yuma, AZ",Yuma,AZ,14,4,Thursday,1,21.61,60.0
460318,EVgo,North Bend,Washington,18,5,Friday,1,11.23,60.0
461166,Gladwin City Hall,Gladwin,MI,22,0,Sunday,1,12.96,45.0
461744,Sunset Pointe,Rocklin,CA,11,5,Friday,2,92.37,90.0
460367,Santa Monica Station,Santa Monica,CA,14,5,Friday,1,48.59,60.0
469499,Renewable Grid - Glen Cove Fast Charging,Glen Cove,NY,9,5,Friday,2,82.24,90.0
460956,"Pilot Travel Center #368 Decatur, IL",Decatur,IL,18,2,Tuesday,1,23.21,60.0
461628,Petro Corning #309,Corning,CA,12,6,Saturday,1,9.29,30.0
469741,"Pilot Travel Center #63 Piedmont, SC",Piedmont,SC,5,2,Tuesday,1,10.33,60.0
469403,1122 Frankford grand,fishtown,PA,18,3,Wednesday,1,32.66,45.0
460503,Futurama near Ball & Chain,Miami,Florida,4,4,Thursday,1,86.89,120.0
470662,"Kittery Premium Outlets - Kittery, ME",Kittery,ME,7,0,Sunday,1,61.57,90.0
461553,Ventura County Credit Union,Ventura,CA,1,3,Wednesday,1,28.34,90.0
461130,TownePlace Suites by Marriott Houston Northwest/Beltway 8,Houston,TX,20,1,Monday,1,50.88,90.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,17,3,Wednesday,2,55.74,60.0
460213,"IKEA - Norfolk, VA",Norfolk,VA,18,1,Monday,1,48.07,120.0
460368,"bp pulse - Duarte, CA",Duarte,CA,14,3,Wednesday,1,23.1,90.0
461550,"Flying J Travel Center #706 Tulsa, OK",Tulsa,OK,13,1,Monday,1,47.98,180.0
460955,"Flying J Travel Center #572 Williams, IA",Williams,IA,19,6,Saturday,1,51.33,120.0
461275,Goodwill,St. Louis Park,MN,5,6,Saturday,1,31.11,60.0
469253,Lenexa Justice Center,Lenexa,KS,17,5,Friday,2,164.25,105.0
460318,EVgo,North Bend,Washington,19,4,Thursday,1,46.22,120.0
461548,"Pilot Travel Center #374 Marianna, FL",Marianna,FL,4,1,Monday,1,16.42,60.0
469403,1122 Frankford grand,fishtown,PA,13,0,Sunday,2,104.12,75.0
460484,L2 near Ball&Chain,Miami,Florida,0,5,Friday,1,47.02,120.0
460954,"Flying J Travel Center #671 Matthews, MO",Matthews,MO,9,3,Wednesday,2,35.68,52.5
460505,Mass General Brigham Healthcare Center,Dover,NH,18,0,Sunday,1,36.42,60.0
469743,"Pilot Travel Center #4642 Toms Brook, VA",Toms Brook,VA,8,1,Monday,2,80.99,90.0
470652,"Starbucks - Phoenix, OR",Phoenix,OR,23,6,Saturday,1,30.66,120.0
461275,Goodwill,St. Louis Park,MN,1,0,Sunday,1,15.68,90.0
460212,"Ikea - Emeryville, CA",Emeryville,CA,19,4,Thursday,1,74.67,90.0
462228,IONNA Kutztown Rechargery @ Sheetz,Kutztown,PA,19,4,Thursday,1,17.89,60.0
470357,FastTrack Market Marathon,Taylor,MI,17,1,Monday,1,27.05,60.0
460323,Ionna - OKC,Oklahoma City,OK,11,6,Saturday,1,30.56,45.0
460958,"Pilot Travel Center #1225 Mascoutah, IL",Mascoutah,IL,17,1,Monday,1,22.04,90.0
461554,The Bite Tumalo,Tumalo,OR,4,0,Sunday,1,58.39,120.0
469252,Lenexa Old Town Activity Center,Lenexa,KS,15,0,Sunday,1,44.9,120.0
462269,Ionna Rechargery,Roseville,CA,19,6,Saturday,1,75.47,120.0
461164,Clawson Shopping Center,Clawson,MI,21,2,Tuesday,2,35.38,90.0
460671,FPL,Pensacola,Florida,7,0,Sunday,1,30.15,90.0
461307,Fas Mart,Grand Haven,MI,19,5,Friday,1,42.23,60.0
461049,Mitra EV DCFC - Aztec Solar,Rancho Cordova,CA,4,6,Saturday,1,43.92,60.0
460570,Eastern Market Public Lot,Detroit,MI,16,4,Thursday,1,65.46,120.0
461758,Bradville Square Shopping Center,Sacramento,CA,17,4,Thursday,1,32.08,60.0
462098,Wawa Supercharger,Staunton,VA,7,2,Tuesday,2,225.68,165.0
462111,Shell - Novi,Novi,MI,17,3,Wednesday,1,54.89,90.0
469746,"Pilot Travel Center #281 Girard, OH",Girard,OH,10,1,Monday,1,24.05,60.0
469499,Renewable Grid - Glen Cove Fast Charging,Glen Cove,NY,21,2,Tuesday,1,33.26,120.0
469499,Renewable Grid - Glen Cove Fast Charging,Glen Cove,NY,14,4,Thursday,1,25.72,45.0
460263,Rivian Adventure Network,St. Regis,Montana,0,2,Tuesday,1,33.22,60.0
460328,Ionna Concord Rechargery,Concord,NC,13,2,Tuesday,1,54.62,90.0
469430,Bernal Plaza,San Jose,CA,0,6,Saturday,2,101.59,150.0
460323,Ionna - OKC,Oklahoma City,OK,19,0,Sunday,1,45.14,120.0
460570,Eastern Market Public Lot,Detroit,MI,19,2,Tuesday,3,130.21,70.0
460673,Telsa Supercharger,Rogue River,Oregon,8,2,Tuesday,1,44.03,60.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,9,2,Tuesday,1,9.0,60.0
470498,US Highway 57,Eagle Pass,Texas,0,4,Thursday,1,63.4,90.0
460571,Exxon Utica,Utica,MI,12,1,Monday,1,48.24,60.0
460372,"Pilot Travel Center #1208 Yuma, AZ",Yuma,AZ,18,6,Saturday,1,44.38,60.0
461629,In-N-Out Burger - Redding,Redding,CA,20,2,Tuesday,1,46.7,90.0
469807,OUC ReCharge EV Hub at OCCC,Orlando,FL,19,2,Tuesday,2,89.12,75.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,9,6,Saturday,1,10.14,60.0
460485,Safeway,Martinez,CA,8,0,Sunday,1,47.26,60.0
460969,EVgo - SF SOMA,San Francisco,CA,19,1,Monday,1,7.8,60.0
461553,Ventura County Credit Union,Ventura,CA,17,6,Saturday,1,31.98,90.0
469749,"Ionna Reading, MA Rechargery Relay",Reading,MA,17,6,Saturday,1,38.17,120.0
461251,Sunshine Gardens,South San Francisco,CA,23,4,Thursday,1,20.61,60.0
460606,Destination Charger,Columbia Falls,Montana,18,3,Wednesday,1,28.22,120.0
462127,Kimco-charlotte,Charlotte,NC,12,5,Friday,1,73.14,120.0
461628,Petro Corning #309,Corning,CA,9,2,Tuesday,1,11.37,60.0
460321,IONNA - Gilman Rechargery Relay,Gilman,IL,19,3,Wednesday,1,26.46,180.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,3,2,Tuesday,1,50.81,90.0
469741,"Pilot Travel Center #63 Piedmont, SC",Piedmont,SC,14,4,Thursday,1,20.99,60.0
460956,"Pilot Travel Center #368 Decatur, IL",Decatur,IL,0,5,Friday,1,36.15,60.0
469399,Elkhorn Shopping Center,Sacramento,CA,16,0,Sunday,1,53.23,120.0
460429,Ruby's Inn General Store - Tesla Supercharger,Bryce Canyon City,Utah,3,5,Friday,1,22.73,60.0
461171,Hamilton CNG Filling Station,Hamilton,OH,23,1,Monday,1,40.91,90.0
469612,"Dennys - Auburn, WA",Auburn,WA,17,4,Thursday,1,47.01,60.0
461553,Ventura County Credit Union,Ventura,CA,13,0,Sunday,1,13.23,45.0
469743,"Pilot Travel Center #4642 Toms Brook, VA",Toms Brook,VA,11,5,Friday,1,7.23,60.0
461733,Walmart,Checotah,OK,9,6,Saturday,1,70.21,120.0
460210,"Pilot Travel Center #222 Sturbridge, MA",Sturbridge,FL,7,0,Sunday,1,51.59,120.0
460323,Ionna - OKC,Oklahoma City,OK,23,2,Tuesday,1,19.22,120.0
460504,Marketplace Foods,Minot,ND,19,4,Thursday,1,13.05,45.0
460208,"Thorntons #710 - Petersburg, FL",St. Petersburg,FL,9,1,Monday,1,14.94,60.0
460329,IONNA Seffner Rechargery,Seffner,FL,12,3,Wednesday,1,39.41,60.0
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,Houston,TX,17,2,Tuesday,1,69.76,90.0
460207,"Thorntons #701 - Largo, FL",Largo,FL,10,0,Sunday,1,72.41,90.0
461251,Sunshine Gardens,South San Francisco,CA,17,3,Wednesday,1,37.92,60.0
469747,"Flying J Travel Center #692 Wells, NV",Wells,NV,4,6,Saturday,1,11.61,90.0
460484,L2 near Ball&Chain,Miami,Florida,12,1,Monday,1,16.9,60.0
460210,"Pilot Travel Center #222 Sturbridge, MA",Sturbridge,FL,17,2,Tuesday,1,41.27,90.0
461548,"Pilot Travel Center #374 Marianna, FL",Marianna,FL,7,1,Monday,1,52.73,120.0
460606,Destination Charger,Columbia Falls,Montana,20,3,Wednesday,1,98.69,120.0
469403,1122 Frankford grand,fishtown,PA,7,4,Thursday,1,39.45,90.0
462127,Kimco-charlotte,Charlotte,NC,11,4,Thursday,1,16.27,120.0
460384,Mendocino Marketplace,Santa Rosa,CA,2,5,Friday,1,15.4,90.0
460958,"Pilot Travel Center #1225 Mascoutah, IL",Mascoutah,IL,6,3,Wednesday,1,16.57,60.0
461511,Sleep Inn & Suites Monroe - Woodbury,Monroe,NY,19,5,Friday,1,11.88,60.0
460322,Ionna Daytona Beach Rechargery Relay @Wawa,Daytona Beach,FL,15,2,Tuesday,1,54.85,90.0
460485,Safeway,Martinez,CA,0,5,Friday,1,16.26,60.0
460318,EVgo,North Bend,Washington,19,6,Saturday,1,68.45,120.0
469745,"Flying J Travel Center #875 Elkton, MD",Elkton,MD,17,5,Friday,1,60.49,90.0
469253,Lenexa Justice Center,Lenexa,KS,13,4,Thursday,2,29.9,30.0
462098,Wawa Supercharger,Staunton,VA,3,0,Sunday,1,33.57,120.0
461252,D & 3rd Street Curbside,West Sacramento,CA,12,0,Sunday,1,14.95,120.0
460207,"Thorntons #701 - Largo, FL",Largo,FL,17,3,Wednesday,1,28.97,60.0
461251,Sunshine Gardens,South San Francisco,CA,8,4,Thursday,1,70.32,180.0
469743,"Pilot Travel Center #4642 Toms Brook, VA",Toms Brook,VA,6,2,Tuesday,1,29.85,60.0
461164,Clawson Shopping Center,Clawson,MI,12,6,Saturday,1,58.89,90.0
469455,Polaris Bergland Township,Bergland,MI,13,4,Thursday,1,50.68,120.0
461073,Fairfield by Marriott Inn & Suites Houston Brookhollow,Houston,TX,7,2,Tuesday,1,103.8,180.0
461170,Hamilton Market St,Hamilton,OH,11,4,Thursday,1,54.27,90.0
461165,Heilmann Community Center,Detroit,MI,22,4,Thursday,1,88.35,180.0
460506,Wentworth-Douglass Hospital,Dover,NH,2,3,Wednesday,1,74.42,120.0
461554,The Bite Tumalo,Tumalo,OR,15,6,Saturday,1,49.0,60.0
460213,"IKEA - Norfolk, VA",Norfolk,VA,14,6,Saturday,1,86.51,180.0
460606,Destination Charger,Columbia Falls,Montana,9,6,Saturday,2,66.96,90.0
461050,Mitra EV DCFC - Sierra Pacific,Rancho Cordova,CA,20,0,Sunday,1,48.48,90.0
461167,Pats Food Freeland,Freeland,MI,14,2,Tuesday,1,23.64,30.0
469745,"Flying J Travel Center #875 Elkton, MD",Elkton,MD,7,0,Sunday,1,21.56,60.0
469374,Freewire Charging Station,Columbus,OH,9,1,Monday,2,68.67,60.0
461275,Goodwill,St. Louis Park,MN,9,3,Wednesday,1,10.34,60.0
469741,"Pilot Travel Center #63 Piedmont, SC",Piedmont,SC,3,3,Wednesday,1,71.02,90.0
461549,"ONE9 Travel Center #7937 Mcleansville, NC",Mcleansville,NC,15,3,Wednesday,1,42.36,90.0
469430,Bernal Plaza,San Jose,CA,7,0,Sunday,1,19.6,30.0
460321,IONNA - Gilman Rechargery Relay,Gilman,IL,10,2,Tuesday,1,22.02,90.0
461155,Key Chrysler Dodge Jeep Ram,Rochester,New Hampshire,23,2,Tuesday,1,58.82,90.0
461757,Dutch Bros Coffee,Sacramento,CA,7,2,Tuesday,1,12.62,90.0
461627,"T/A Travel Center #0057 - Redding, CA",Redding,CA,9,5,Friday,1,50.79,90.0
461251,Sunshine Gardens,South San Francisco,CA,18,2,Tuesday,1,15.63,60.0
461632,"Ionna - Willows, CA",Williows,CA,13,5,Friday,1,48.69,60.0
470662,"Kittery Premium Outlets - Kittery, ME",Kittery,ME,10,1,Monday,1,59.0,90.0
461551,Berkeley Bowl (West),Berkeley,CA,14,1,Monday,1,45.59,60.0
461715,BP Express Stop,Jackson,MI,14,6,Saturday,1,23.32,60.0
462227,IONNA Middletown Rechargery Relay,Middletown,MD,14,5,Friday,1,9.59,60.0
469612,"Dennys - Auburn, WA",Auburn,WA,5,6,Saturday,1,41.75,60.0
460430,Revel - South San Francisco,South San Francisco,CA,6,0,Sunday,1,8.14,60.0
460505,Mass General Brigham Healthcare Center,Dover,NH,8,4,Thursday,1,45.56,60.0
469401,Dutch Bros,Sacramento,CA,19,3,Wednesday,1,26.84,60.0
461157,University Place Library,University Place,Washington,13,1,Monday,1,98.8,120.0
470498,US Highway 57,Eagle Pass,Texas,20,6,Saturday,1,38.84,120.0
461307,Fas Mart,Grand Haven,MI,4,2,Tuesday,1,11.72,90.0
461757,Dutch Bros Coffee,Sacramento,CA,4,1,Monday,1,22.88,60.0
460484,L2 near Ball&Chain,Miami,Florida,10,6,Saturday,1,70.23,90.0
461550,"Flying J Travel Center #706 Tulsa, OK",Tulsa,OK,12,3,Wednesday,1,60.93,90.0
461632,"Ionna - Willows, CA",Williows,CA,17,3,Wednesday,1,81.55,120.0
460504,Marketplace Foods,Minot,ND,11,1,Monday,1,46.94,120.0
469430,Bernal Plaza,San Jose,CA,0,3,Wednesday,1,27.18,60.0
460368,"bp pulse - Duarte, CA",Duarte,CA,10,3,Wednesday,1,49.12,60.0
460212,"Ikea - Emeryville, CA",Emeryville,CA,7,0,Sunday,1,31.29,120.0
461715,BP Express Stop,Jackson,MI,1,1,Monday,1,57.46,120.0
461750,Speedy Q,New Baltimore,MI,7,2,Tuesday,1,11.87,60.0
460384,Mendocino Marketplace,Santa Rosa,CA,17,1,Monday,1,78.74,120.0
460328,Ionna Concord Rechargery,Concord,NC,13,5,Friday,1,43.27,60.0
461758,Bradville Square Shopping Center,Sacramento,CA,9,1,Monday,1,47.15,120.0
460673,Telsa Supercharger,Rogue River,Oregon,7,1,Monday,2,107.78,67.5
460503,Futurama near Ball & Chain,Miami,Florida,7,2,Tuesday,2,174.02,120.0
462227,IONNA Middletown Rechargery Relay,Middletown,MD,9,6,Saturday,1,40.55,60.0
462225,IONNA Beaver Rechargery Relay,Beaver,UT,9,2,Tuesday,2,166.64,120.0
461050,Mitra EV DCFC - Sierra Pacific,Rancho Cordova,CA,2,0,Sunday,1,39.99,60.0
461813,Culver's,Rhinelander,WI,19,6,Saturday,1,20.7,120.0
461164,Clawson Shopping Center,Clawson,MI,18,6,Saturday,1,19.56,90.0
462098,Wawa Supercharger,Staunton,VA,0,1,Monday,1,24.46,45.0
469612,"Dennys - Auburn, WA",Auburn,WA,8,2,Tuesday,1,100.0,120.0
461756,"Laguna Blvd, Elk Grove, CA",Elk Grove,CA,13,1,Monday,1,56.71,90.0
469253,Lenexa Justice Center,Lenexa,KS,2,4,Thursday,1,45.76,60.0
461541,Fox Kia South,Grand Rapids,michigan,9,5,Friday,2,221.58,150.0
470357,FastTrack Market Marathon,Taylor,MI,13,2,Tuesday,1,22.87,60.0
462111,Shell - Novi,Novi,MI,13,4,Thursday,1,79.29,120.0
470651,"Starbucks - Ridgefield, WA",Ridgefield,WA,18,0,Sunday,1,45.32,90.0
469749,"Ionna Reading, MA Rechargery Relay",Reading,MA,7,1,Monday,1,78.99,180.0
460571,Exxon Utica,Utica,MI,19,2,Tuesday,1,52.11,90.0
460320,"Ionna - Daly City, CA",Daly City,CA,14,0,Sunday,1,73.31,120.0
460632,Parsons Chevy - Eagle River,Eagle River,WI,15,6,Saturday,1,25.65,120.0
460367,Santa Monica Station,Santa Monica,CA,20,5,Friday,1,74.69,180.0
461758,Bradville Square Shopping Center,Sacramento,CA,1,1,Monday,1,13.68,30.0
470696,Trailborn Grand Canyon,Williams,AZ,8,4,Thursday,2,61.56,75.0
460323,Ionna - OKC,Oklahoma City,OK,14,5,Friday,1,52.38,240.0
461170,Hamilton Market St,Hamilton,OH,2,4,Thursday,2,148.61,120.0
461744,Sunset Pointe,Rocklin,CA,5,0,Sunday,1,33.14,120.0
470696,Trailborn Grand Canyon,Williams,AZ,11,6,Saturday,1,31.91,90.0
462225,IONNA Beaver Rechargery Relay,Beaver,UT,12,4,Thursday,1,50.11,180.0
460367,Santa Monica Station,Santa Monica,CA,4,2,Tuesday,1,11.39,45.0
460211,"Flying J Travel Center #716 Sioux Falls, SD",Sioux Falls,SD,15,3,Wednesday,1,7.8,45.0
461744,Sunset Pointe,Rocklin,CA,4,6,Saturday,1,43.76,120.0
461049,Mitra EV DCFC - Aztec Solar,Rancho Cordova,CA,8,4,Thursday,1,81.18,120.0
470276,"New Albany Light, Gas, and Water",New Albany,MS,13,0,Sunday,1,20.86,60.0
460953,"Flying J Travel Center #690 Lordsburg, NM",Lordsburg,NM,8,1,Monday,1,71.97,120.0
470792,Fellows Creek Golf Club,Canton,MI,17,0,Sunday,1,61.69,90.0
461050,Mitra EV DCFC - Sierra Pacific,Rancho Cordova,CA,7,0,Sunday,1,62.4,120.0
461307,Fas Mart,Grand Haven,MI,0,0,Sunday,1,34.61,60.0
469611,Dennys,Seatac,WA,5,2,Tuesday,1,12.74,60.0
460953,"Flying J Travel Center #690 Lordsburg, NM",Lordsburg,NM,12,6,Saturday,1,32.68,120.0
461543,Garcia Bend Park,Sacramento,CA,10,1,Monday,1,31.27,45.0
462226,IONNA Raleigh Rechargery Relay,Raleigh,NC,12,1,Monday,1,33.43,90.0
470357,FastTrack Market Marathon,Taylor,MI,12,6,Saturday,1,65.73,180.0
469455,Polaris Bergland Township,Bergland,MI,4,2,Tuesday,1,62.67,90.0
462269,Ionna Rechargery,Roseville,CA,9,0,Sunday,1,29.77,90.0
469430,Bernal Plaza,San Jose,CA,6,5,Friday,1,47.95,60.0
470314,EVolve NY Afton,Afton,NY,12,0,Sunday,1,42.24,60.0
469611,Dennys,Seatac,WA,5,5,Friday,1,18.98,60.0
461541,Fox Kia South,Grand Rapids,michigan,7,2,Tuesday,1,73.93,120.0
461156,Key GMC of Rochester,Rochester,New Hampshire,20,6,Saturday,1,31.8,60.0
460571,Exxon Utica,Utica,MI,18,0,Sunday,1,45.36,60.0
461275,Goodwill,St. Louis Park,MN,0,0,Sunday,1,74.21,90.0
462111,Shell - Novi,Novi,MI,10,1,Monday,1,20.88,45.0
469374,Freewire Charging Station,Columbus,OH,1,5,Friday,1,45.72,90.0
460959,"Thorntons #327 - Bellwood, IL",Bellwood,IL,12,0,Sunday,1,46.55,90.0
469401,Dutch Bros,Sacramento,CA,17,4,Thursday,1,57.2,90.0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,15,0,Sunday,1,103.16,180.0
460505,Mass General Brigham Healthcare Center,Dover,NH,11,0,Sunday,1,13.31,60.0
470498,US Highway 57,Eagle Pass,Texas,9,4,Thursday,1,87.24,120.0
461554,The Bite Tumalo,Tumalo,OR,21,1,Monday,2,127.78,90.0
469374,Freewire Charging Station,Columbus,OH,11,5,Friday,1,6.79,45.0
469743,"Pilot Travel Center #4642 Toms Brook, VA",Toms Brook,VA,7,0,Sunday,1,20.83,45.0
470652,"Starbucks - Phoenix, OR",Phoenix,OR,3,1,Monday,1,67.11,90.0
469401,Dutch Bros,Sacramento,CA,0,4,Thursday,1,11.31,45.0
460959,"Thorntons #327 - Bellwood, IL",Bellwood,IL,12,1,Monday,1,84.61,120.0
460504,Marketplace Foods,Minot,ND,7,2,Tuesday,1,52.42,120.0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,21,1,Monday,1,41.85,60.0
462098,Wawa Supercharger,Staunton,VA,20,6,Saturday,1,81.42,120.0
460632,Parsons Chevy - Eagle River,Eagle River,WI,19,0,Sunday,1,33.17,60.0
460209,"Flying J Travel Center #626 St. Augustine, FL",St. Augustine,FL,17,4,Thursday,1,69.54,90.0
461628,Petro Corning #309,Corning,CA,17,0,Sunday,1,50.6,90.0
460969,EVgo - SF SOMA,San Francisco,CA,11,5,Friday,1,42.71,60.0
469745,"Flying J Travel Center #875 Elkton, MD",Elkton,MD,19,3,Wednesday,2,229.5,150.0
461171,Hamilton CNG Filling Station,Hamilton,OH,13,4,Thursday,1,17.69,120.0
460328,Ionna Concord Rechargery,Concord,NC,16,2,Tuesday,1,38.57,120.0
469253,Lenexa Justice Center,Lenexa,KS,9,5,Friday,1,92.38,120.0
460372,"Pilot Travel Center #1208 Yuma, AZ",Yuma,AZ,11,5,Friday,1,14.31,60.0
460322,Ionna Daytona Beach Rechargery Relay @Wawa,Daytona Beach,FL,5,4,Thursday,1,39.27,90.0
460606,Destination Charger,Columbia Falls,Montana,0,6,Saturday,1,48.85,60.0
