station_id,station_name,city,state,operator,total_sessions,total_energy_kwh,avg_duration_minutes,avg_cost,total_revenue,active_days,last_session,first_session,charging_points_count,avg_power_kw,open_anomalies
461756,"Laguna Blvd, Elk Grove, CA",Elk Grove,CA,eVgo Network,0,,,,,0,,,0,,0
461757,Dutch Bros Coffee,Sacramento,CA,eVgo Network,0,,,,,0,,,0,,0
461758,Bradville Square Shopping Center,Sacramento,CA,eVgo Network,0,,,,,0,,,0,,0
461813,Culver's,Rhinelander,WI,ChargePoint,0,,,,,0,,,0,,0
462098,Wawa Supercharger,Staunton,VA,Tesla (including non-tesla),0,,,,,0,,,0,,1
462111,Shell - Novi,Novi,MI,Red E Charge,0,,,,,0,,,0,,0
462127,Kimco-charlotte,Charlotte,NC,(Unknown Operator),0,,,,,0,,,0,,0
462225,IONNA Beaver Rechargery Relay,Beaver,UT,IONNA,0,,,,,0,,,0,,0
462226,IONNA Raleigh Rechargery Relay,Raleigh,NC,IONNA,0,,,,,0,,,0,,0
462227,IONNA Middletown Rechargery Relay,Middletown,MD,IONNA,0,,,,,0,,,0,,0
462228,IONNA Kutztown Rechargery @ Sheetz,Kutztown,PA,IONNA,0,,,,,0,,,0,,0
462269,Ionna Rechargery,Roseville,CA,IONNA,0,,,,,0,,,0,,0
469252,Lenexa Old Town Activity Center,Lenexa,KS,Tesla (including non-tesla),0,,,,,0,,,0,,0
469253,Lenexa Justice Center,Lenexa,KS,Tesla (including non-tesla),0,,,,,0,,,0,,0
469374,Freewire Charging Station,Columbus,OH,(Unknown Operator),0,,,,,0,,,0,,0
469399,Elkhorn Shopping Center,Sacramento,CA,eVgo Network,0,,,,,0,,,0,,0
469401,Dutch Bros,Sacramento,CA,IONNA,0,,,,,0,,,0,,0
469403,1122 Frankford grand,fishtown,PA,(Unknown Operator),0,,,,,0,,,0,,0
469430,Bernal Plaza,San Jose,CA,eVgo Network,0,,,,,0,,,0,,0
469455,Polaris Bergland Township,Bergland,MI,(Unknown Operator),0,,,,,0,,,0,,18
469499,Renewable Grid - Glen Cove Fast Charging,Glen Cove,NY,(Unknown Operator),0,,,,,0,,,0,,0
469611,Dennys,Seatac,WA,Electric Era (US),0,,,,,0,,,0,,14
469612,"Dennys - Auburn, WA",Auburn,WA,Electric Era (US),0,,,,,0,,,0,,14
469741,"Pilot Travel Center #63 Piedmont, SC",Piedmont,SC,eVgo Network,0,,,,,0,,,0,,0
469743,"Pilot Travel Center #4642 Toms Brook, VA",Toms Brook,VA,eVgo Network,0,,,,,0,,,0,,0
469745,"Flying J Travel Center #875 Elkton, MD",Elkton,MD,eVgo Network,0,,,,,0,,,0,,0
469746,"Pilot Travel Center #281 Girard, OH",Girard,OH,eVgo Network,0,,,,,0,,,0,,0
469747,"Flying J Travel Center #692 Wells, NV",Wells,NV,eVgo Network,0,,,,,0,,,0,,0
469748,Ionna Largo Rechargery @ Wawa,Largo,FL,IONNA,0,,,,,0,,,0,,4
469749,"Ionna Reading, MA Rechargery Relay",Reading,MA,IONNA,0,,,,,0,,,0,,0
469752,"Ionna Carlin, NV Rechargery Relay @ Ridley’s Market",Carlin,NV,IONNA,0,,,,,0,,,0,,0
469807,OUC ReCharge EV Hub at OCCC,Orlando,FL,ChargeUp (NovaCharge),0,,,,,0,,,0,,0
470113,Kwik-Charge #1205,Lake Delton,WI,Kwik Charge (Kwik Trip),0,,,,,0,,,0,,0
470276,"New Albany Light, Gas, and Water",New Albany,MS,Electric Era (US),0,,,,,0,,,0,,0
470312,Safeway,Hercules,CA,Electrify America,0,,,,,0,,,0,,0
470314,EVolve NY Afton,Afton,NY,Electrify America,0,,,,,0,,,0,,4
470357,FastTrack Market Marathon,Taylor,MI,Red E Charge,0,,,,,0,,,0,,0
470498,US Highway 57,Eagle Pass,Texas,InCharge (US),0,,,,,0,,,0,,0
470651,"Starbucks - Ridgefield, WA",Ridgefield,WA,Mercedes-Benz High-Power Charging (US),0,,,,,0,,,0,,0
470652,"Starbucks - Phoenix, OR",Phoenix,OR,Mercedes-Benz High-Power Charging (US),0,,,,,0,,,0,,0
470662,"Kittery Premium Outlets - Kittery, ME",Kittery,ME,Mercedes-Benz High-Power Charging (US),0,,,,,0,,,0,,0
470696,Trailborn Grand Canyon,Williams,AZ,(Unknown Operator),0,,,,,0,,,0,,0
470792,Fellows Creek Golf Club,Canton,MI,Volta Charging,0,,,,,0,,,0,,0
